id,"name","powerstats__intelligence","powerstats__strength","powerstats__speed","powerstats__durability","powerstats__power","powerstats__combat","biography__full-name","biography__alter-egos","biography__aliases__001","biography__place-of-birth","biography__first-appearance","biography__publisher","biography__alignment","appearance__gender","appearance__race","appearance__height__001","appearance__height__002","appearance__weight__001","appearance__weight__002","appearance__eye-color","appearance__hair-color","work__occupation","work__base","connections__group-affiliation","connections__relatives","biography__aliases__002",biography__aliases__003,biography__aliases__004,biography__aliases__005,biography__aliases__006,"biography__aliases__007","biography__aliases__008","biography__aliases__009","biography__aliases__010","biography__aliases__011","biography__aliases__012","biography__aliases__013","biography__aliases__014","biography__aliases__015","biography__aliases__016","biography__aliases__017","biography__aliases__018","biography__aliases__019","biography__aliases__020"
1,"A-Bomb","38","100","17","80","24","64","Richard Milhouse Jones","No alter egos found.","Rick Jones","Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)","Marvel Comics","good","Male","Human","6'8","203 cm","980 lb","441 kg","Yellow","No Hair","Musician, adventurer, author; formerly talk show host","-","Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",,,,,,,,,,,,,,,,,,,
2,"Abe Sapien","88","28","35","65","100","85","Abraham Sapien","No alter egos found.","Langdon Everett Caul","-","Hellboy: Seed of Destruction (1993)","Dark Horse Comics","good","Male","Icthyo Sapien","6'3","191 cm","145 lb","65 kg","Blue","No Hair","Paranormal Investigator","-","Bureau for Paranormal Research and Defense","Edith Howard (wife, deceased)","Abraham Sapien",Langdon Caul,,,,,,,,,,,,,,,,,
3,"Abin Sur","50","90","53","64","99","65",,"No alter egos found.","Lagzia","Ungara","Showcase #22 (October, 1959)","DC Comics","good","Male","Ungaran","6'1","185 cm","200 lb","90 kg","Blue","No Hair","Green Lantern, former history professor","Oa","Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)",,,,,,,,,,,,,,,,,,,
4,"Abomination","63","80","53","90","62","95","Emil Blonsky","No alter egos found.","Agent R-7","Zagreb, Yugoslavia","Tales to Astonish #90","Marvel Comics","bad","Male","Human / Radiation","6'8","203 cm","980 lb","441 kg","Green","No Hair","Ex-Spy","Mobile","former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)","Ravager of Worlds",,,,,,,,,,,,,,,,,,
5,"Abraxas","88","63","83","100","100","55","Abraxas","No alter egos found.","-","Within Eternity","Fantastic Four Annual #2001","Marvel Comics","bad","Male","Cosmic Entity","-","0 cm","- lb","0 kg","Blue","Black","Dimensional destroyer","-","Cosmic Beings","Eternity (""Father"")",,,,,,,,,,,,,,,,,,,
6,"Absorbing Man","38","80","25","100","98","64","Carl Creel","No alter egos found.","Greithoth","New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)","Marvel Comics","bad","Male","Human","6'4","193 cm","270 lb","122 kg","Blue","No Hair","Professional criminal; former professional boxer","-","Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)","""Crusher"" Creel",Rocky Davis,Dynamite Davis,Lightningbolt,Prisoner #24957,,,,,,,,,,,,,,
7,"Adam Monroe","63","10","12","100","100","64",,"No alter egos found.","Takezo Kensei","-","Heroes S02E01 - Four Months Later...","NBC - Heroes","good","Male","null","-","0 cm","- lb","0 kg","Blue","Blond","former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army","U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada","-","-","Richard Sanders",,,,,,,,,,,,,,,,,,
8,"Adam Strange","69","10","33","40","37","50","Adam Strange","No alter egos found.","Warrior of Two Worlds","Chicago, Illinois","Outsiders #6 (April, 1986)","DC Comics","good","Male","Human","6'1","185 cm","195 lb","88 kg","Blue","Blond","Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System","Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)","Savior of Rann",,,,,,,,,,,,,,,,,,
9,"Agent 13","null","46","null","null","null","null","Sharon Carter","Sharon Carter","-","-","Tales of Suspense #75","Sharon Carter","good","Female","null","5'8","173 cm","135 lb","61 kg","Blue","Blond","Agent of SHIELD","S.H.I.E.L.D. Headquarters, New York City","Agent of SHIELD.; former member of the Femme Force","Harrison Carter (father), Amanda Carter (mother), Margaret ""Peggy"" Carter (sister)",,,,,,,,,,,,,,,,,,,
10,"Agent Bob","10","8","13","5","5","20","Bob","No alter egos found.","Bob","-","Cable & Deadpool #38 (May, 2007)","Marvel Comics","good","Male","Human","5'10","178 cm","181 lb","81 kg","Brown","Brown","Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier","A.I.M., Deadpool; formerly Agency X, Hydra","Allison (ex-wife); Terry and Howie (sons)","agent of Hydra",Bob,agent of A.I.M,,,,,,,,,,,,,,,,
11,"Agent Zero","75","28","38","80","72","95","Christoph Nord","No alter egos found.","Maverick","Unrevealed location in former East Germany","-","Marvel Comics","good","Male","null","6'3","191 cm","230 lb","104 kg","-","-","Mercenary, former government operative, freedom fighter","-","Formerly Weapon X, Weapon Plus, Team X, Cell Six, former bodyguard of Psi-Borg, former agent of Major Barrington","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)",,,,,,,,,,,,,,,,,,,
